Avg Min Temp *C,Yr Rain mm,Heat Wave,Dry Spell,Cold Wave,Wet Spell,Irrigation,Crop Damage,Location_Hillport,Location_Lake Diane,Location_Spencerborough,Crop Type_Barley,Crop Type_Maize,Crop Type_Oats
23.4,769.1501,False,False,True,False,True,True,1,0,0,0,0,1
21.7,1404.13,True,False,False,True,False,False,0,1,0,0,0,1
21.5,1458.2698799999998,False,False,False,False,True,False,0,0,1,1,0,0
23.9,855.46,False,False,False,False,True,False,1,0,0,1,0,0
23.8,808.54,False,False,False,False,True,False,1,0,0,0,1,0
24.4,1070.65,True,False,False,True,True,False,1,0,0,1,0,0
21.4,1328.73,True,False,False,True,False,False,0,1,0,1,0,0
22.6,1785.36,False,False,False,True,True,False,0,0,1,0,1,0
22.9,1961.4,False,False,False,True,False,True,0,0,1,0,0,1
23.6,837.42,False,False,False,False,False,False,1,0,0,1,0,0
21.6,1354.02066,False,False,False,False,False,False,0,0,1,0,0,1
20.100000000000005,840.31074,False,False,True,False,True,True,0,1,0,1,0,0
20.3,1019.63982,False,False,False,False,True,True,0,1,0,0,1,0
22.8,1889.89,False,False,False,True,False,True,0,0,1,0,1,0
21.2,1334.8208,False,False,False,False,True,True,0,0,1,0,0,1
23.3,782.6806799999999,False,False,True,False,False,False,1,0,0,0,1,0
21.3,1450.93182,False,False,False,False,False,False,0,0,1,0,1,0
24.8,1100.48,True,False,False,True,True,False,1,0,0,0,0,1
21.1,1173.02,False,False,True,False,True,False,0,1,0,0,1,0
24.0,924.22,False,False,False,True,True,False,1,0,0,0,0,1
21.6,1589.84,True,False,False,True,False,False,0,1,0,0,0,1
22.3,1854.69,False,False,False,True,False,False,0,0,1,0,1,0
20.500000000000004,925.8096799999998,False,False,True,False,True,True,0,1,0,0,0,1
24.8,1083.39,True,False,False,True,True,False,1,0,0,0,1,0
22.2,1569.94,True,False,False,True,False,True,0,1,0,1,0,0
22.2,1771.04,False,False,False,True,True,False,0,0,1,0,1,0
24.2,967.26,True,False,False,True,True,False,1,0,0,0,1,0
23.500000000000007,749.00028,False,False,False,False,False,False,1,0,0,0,1,0
21.3,1422.0901199999998,False,False,False,False,True,True,0,0,1,0,0,1
23.600000000000005,806.831,False,False,False,False,True,True,1,0,0,0,1,0
20.3,1025.3218,False,False,True,False,True,True,0,1,0,0,1,0
20.9,1177.11,False,False,False,False,False,False,0,1,0,0,0,1
23.4,642.91972,False,False,False,False,False,False,1,0,0,0,1,0
24.8,1152.96,True,False,False,True,True,False,1,0,0,0,0,1
22.9,1748.07,False,False,False,True,False,True,0,0,1,0,0,1
21.9,1409.67,False,False,False,False,True,False,0,0,1,0,1,0
21.6,1271.92,True,False,False,True,False,True,0,1,0,0,1,0
22.0,1657.63,True,False,False,True,False,False,0,0,1,0,0,1
19.6,793.6915799999999,False,False,True,False,True,True,0,1,0,0,0,1
21.8,1425.32,False,False,False,False,False,False,0,0,1,0,1,0
21.2,1396.00178,False,False,False,False,False,False,0,0,1,0,1,0
24.6,1077.18,True,False,False,True,True,False,1,0,0,0,1,0
24.9,1044.38,True,False,False,True,True,False,1,0,0,0,0,1
22.3,1590.61,True,False,False,True,False,True,0,1,0,1,0,0
22.3,1840.8,False,False,False,True,True,False,0,0,1,0,0,1
21.3,1384.7699,False,False,False,False,True,True,0,0,1,1,0,0
20.8,1115.26066,False,False,False,False,True,False,0,1,0,0,0,1
22.4,1777.32,False,False,False,True,True,False,0,0,1,1,0,0
21.100000000000005,1170.91968,False,False,False,False,False,False,0,0,1,1,0,0
21.800000000000004,1544.9016599999998,False,False,False,False,True,True,0,0,1,1,0,0
22.6,1717.36,False,False,False,True,True,False,0,0,1,0,1,0
21.1,1024.46,False,False,False,False,True,True,0,1,0,0,1,0
23.8,809.7596199999999,False,False,False,False,True,False,1,0,0,0,1,0
23.10000000000001,616.65104,False,False,True,False,True,True,1,0,0,0,0,1
20.200000000000003,731.72066,False,False,True,False,True,True,0,1,0,1,0,0
23.9,901.05,False,False,False,True,False,False,1,0,0,0,1,0
21.100000000000005,1240.3709,False,False,False,False,False,False,0,0,1,0,1,0
22.0,1606.5,True,False,False,True,True,False,0,1,0,1,0,0
25.3,1154.48,True,False,False,True,True,False,1,0,0,0,1,0
23.10000000000001,617.77118,False,False,True,False,True,True,1,0,0,1,0,0
24.6,1223.54,True,False,False,True,True,False,1,0,0,0,0,1
21.000000000000007,1073.45988,False,False,False,False,True,False,0,1,0,1,0,0
20.3,934.26026,False,False,True,False,True,True,0,1,0,1,0,0
23.4,762.6502399999999,False,False,True,False,False,False,1,0,0,0,0,1
24.5,1033.73,True,False,False,True,True,False,1,0,0,1,0,0
22.5,1789.49,False,False,False,True,True,False,0,0,1,0,1,0
22.3,1593.94,True,False,False,True,False,True,0,1,0,1,0,0
21.9,1478.76,False,False,False,False,True,False,0,0,1,0,1,0
24.2,899.87,True,False,False,True,True,False,1,0,0,0,0,1
24.1,1009.52,True,False,False,True,True,True,1,0,0,0,1,0
21.6,1381.23,True,False,False,True,True,False,0,1,0,1,0,0
21.2,1199.91,False,False,False,True,True,False,0,1,0,1,0,0
22.7,1889.46,False,False,False,True,True,False,0,0,1,0,1,0
22.6,1959.43,False,False,False,True,True,False,0,0,1,0,0,1
22.0,1445.99,False,False,False,False,False,False,0,0,1,0,0,1
20.4,1047.23946,False,False,False,False,True,False,0,1,0,0,1,0
22.5,1850.52,False,False,False,True,False,True,0,0,1,0,0,1
23.3,648.6093199999999,False,False,False,False,True,False,1,0,0,0,0,1
24.4,979.0,True,False,False,True,False,True,1,0,0,0,1,0
23.4,788.75128,False,False,True,False,False,False,1,0,0,0,1,0
21.100000000000005,1471.7014,False,False,False,False,False,False,0,0,1,1,0,0
21.2,1150.88,False,True,False,False,True,False,0,1,0,0,0,1
22.4,1780.11,True,False,False,True,False,True,0,1,0,0,0,1
24.8,1191.97,True,False,False,True,True,False,1,0,0,1,0,0
21.3,1130.4193799999998,False,False,False,False,False,False,0,0,1,0,1,0
24.0,893.39,False,False,False,True,True,False,1,0,0,1,0,0
21.6,1397.9220199999995,False,False,False,False,False,False,0,0,1,0,1,0
22.1,1597.29,True,False,False,True,True,False,0,1,0,1,0,0
23.7,959.72,False,False,False,True,True,False,1,0,0,0,0,1
23.1,2155.3,False,False,False,True,True,False,0,0,1,1,0,0
22.6,1791.51,False,False,False,True,True,False,0,0,1,0,0,1
21.8,1477.64,True,False,False,True,False,True,0,1,0,0,1,0
